are,like,include,length,thrice,words,but,and,with,once,sentence,were,was,twice,min
0,0,1,0,0,0,1,2,0,0,0,1,1,0,0
0,0,0,1,0,1,1,1,1,0,1,0,0,0,1
1,0,0,0,0,0,1,2,0,0,0,1,1,0,0
0,1,0,0,0,1,0,1,1,0,1,0,0,0,1
0,0,0,0,6,0,0,0,0,3,0,0,0,6,0
0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
1,1,1,0,0,0,0,2,0,0,0,1,1,0,0
2,1,2,1,0,1,2,0,0,0,0,2,1,0,0
0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
1,0,1,0,0,0,1,2,0,0,0,0,1,0,0
1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
0,0,0,0,6,0,0,0,0,2,0,0,0,2,0
0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
